creature_id,creature_name,prompt,negative_prompt
2d32c5fd-d6b3-46f0-bfe9-7e8962e66a9f,The Proud Phase Shifter,"cute figurine style, proud phase shifter character, gold and brown color scheme, fierce roar pose, subtle fire effects, warm glow, flame accents, riverbank background, studio lighting, soft shadows, high quality lighting, very detailed, high quality, great textures, professional, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
28c2e88f-9937-4a24-906e-2ff0f13f6685,Goldwing Bat,"cute figurine style, proud bat character, gold and brown color scheme, roaring with mouth open, ethereal glow, spiritual wisps, ghostly aura, terminal background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
6b299285-37af-4247-96b9-916736b4763e,Aggressive Silver Griffin,"dark ornate details, elegant gothic style, aggressive griffin character, silver and gold color scheme, roaring with mouth open, glowing aura, light rays, radiant effect, playground background, studio lighting, soft shadows, high quality lighting, very detailed, high quality, great textures, professional, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
9c465df1-ffcd-407f-ae1d-990818fa9417,Gold Naturalistic Light Radiance,"cute figurine style, proud light radiance character, gold and brown color scheme, fierce roar pose, dark aura, shadow wisps, mysterious glow, prism background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
8843ebb0-f1a2-4525-8fd9-7843a685b058,Gothic Mantis of Insect,"dark ornate details, elegant gothic style, proud mantis character, gold and brown color scheme, fierce roar pose, digital patterns, matrix code, tech patterns, jungle background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
0d49afec-9c11-416c-b599-c54d7c45693d,Goldwing Parrot,"dark ornate details, elegant gothic style, proud parrot character, gold and brown color scheme, roaring stance with raised head, glowing aura, light rays, radiant effect, archive background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
b24d849f-df19-4660-a90c-d041a880cf07,Shark of Gold Naturalistic,"cute figurine style, proud shark character, gold and brown color scheme, roaring with mouth open, floating debris, gravity distortion effects, sky background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
cbe0e586-9676-4840-a9e0-657a23b80fc6,Raven of Silver Naturalistic,"cute figurine style, proud raven character, silver and gold color scheme, roaring stance with raised head, frost crystals, icy effects, cold mist, playground background, even lighting, clear visibility, well-made, clear details, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
ebba7678-390b-4739-820c-b97afa4e13ca,Gold Gothic Dragonfly,"dark ornate details, elegant gothic style, aggressive dragonfly character, gold and flame color scheme, roaring with mouth open, horizon background, simple lighting, clean look, clean, simple, cute, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
25dc04ea-5d90-4cdf-86cc-932435c06b9b,Gold Naturalistic Elastic Cat,"cute figurine style, proud elastic cat character, gold and flame color scheme, fierce roar pose, electric sparks, lightning details, energy crackling, deep sea background, dramatic studio lighting, rim light, perfect highlights, premium quality, masterpiece, highly detailed, 8k resolution, perfect quality, professional render, white background, centered composition, 3D render style","blurry, low quality, distorted, ugly, bad anatomy, text, watermark, realistic photo, scary, creepy, horror, human, person, nsfw, deformed, mutated, extra limbs, bad proportions"
